message;severity;node;stamp;topics;location
"log:62";"16";"/basic_logger";"1607569303.286035117";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:62";"8";"/basic_logger";"1607569303.286023417";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:62";"4";"/basic_logger";"1607569303.285997817";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:62";"2";"/basic_logger";"1607569303.285950817";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:61";"16";"/basic_logger";"1607569302.285896513";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:61";"8";"/basic_logger";"1607569302.285889713";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:61";"4";"/basic_logger";"1607569302.285877013";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:61";"2";"/basic_logger";"1607569302.285814213";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:60";"16";"/basic_logger";"1607569301.286003109";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:60";"8";"/basic_logger";"1607569301.285946109";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:60";"4";"/basic_logger";"1607569301.285919709";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:60";"2";"/basic_logger";"1607569301.285871609";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:59";"16";"/basic_logger";"1607569300.286021509";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:59";"8";"/basic_logger";"1607569300.286014309";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:59";"4";"/basic_logger";"1607569300.285995509";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:59";"2";"/basic_logger";"1607569300.285949709";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
